,urls
236,https://www.cnn.com/2022/03/12/europe/western-brands-russia-sanctions-impact-intl/index.html
237,https://www.cnn.com/2022/03/12/energy/us-gas-prices-russia-oil/index.html
238,https://www.cnn.com/2022/03/14/politics/putin-russia-ukraine-war-brutal-toll/index.html
239,https://www.cnn.com/2022/03/13/health/who-ukraine-war-covid-19/index.html
240,https://www.cnn.com/2022/03/13/asia/japan-russia-ukraine-war-international-politics-hnk-intl/index.html
241,https://www.cnn.com/2022/03/13/opinions/putin-bombs-and-ukraine-resists-column-galant/index.html
242,https://www.cnn.com/2022/03/13/world/ukraine-refugee-crisis-countries/index.html
243,https://www.cnn.com/2022/03/12/business/food-crisis-ukraine-russia/index.html
244,https://www.cnn.com/2022/03/14/politics/zelensky-biden-ukraine-sanctions/index.html
245,https://www.cnn.com/2022/03/14/europe/what-happened-ukraine-weekend-03-14-intl/index.html
246,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-14-22/h_7ebe7f5584f989cf9217f835ce1ce040
247,https://www.cnn.com/2022/03/15/politics/putin-biden-historic-dilemma/index.html
248,https://www.cnn.com/2022/03/13/politics/jake-sullivan-meeting-chinese-counterpart-ukraine/index.html
249,https://www.cnn.com/2022/03/14/europe/ukrainian-mother-flees-war-florida/index.html
250,https://www.cnn.com/2022/03/14/europe/ukraine-russia-mayor-protests-intl/index.html
251,https://www.cnn.com/2022/03/14/europe/ukrainian-railways-war-intl-cmd/index.html
252,https://www.cnn.com/2022/03/14/europe/patriarch-kirill-putin-spiritual-battle-intl-cmd/index.html
253,https://www.cnn.com/2022/03/14/opinions/refugees-policy-united-states-ukraine-hetfield/index.html
254,https://www.cnn.com/2022/03/14/media/fox-correspondent-ben-hall-ukraine/index.html
255,https://www.cnn.com/2022/03/13/media/russia-ukraine-brent-renaud-death-intl/index.html
256,https://www.cnn.com/2022/03/14/investing/russia-economy-default/index.html
257,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-15-22/index.html
258,https://www.cnn.com/2022/03/15/tech/ukraine-russia-misinformation-challenges/index.html
259,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-16-22/h_7e8b9319ba415fbd37cd47e2a1562ba8
260,https://www.cnn.com/2022/03/15/europe/ukraine-protester-interrupts-russian-state-news-broadcast/index.html
261,https://www.cnn.com/2022/03/15/europe/ukraine-detains-hacker/index.html
262,https://www.cnn.com/2022/03/15/health/covid-19-polio-measles-cholera-ukraine/index.html
263,https://www.cnn.com/2022/03/15/europe/african-students-trapped-kherson-lgs-cmd-intl/index.html
264,https://www.cnn.com/2022/03/15/opinions/pregnant-woman-ukraine-war-filipovic/index.html
265,https://www.cnn.com/2022/03/15/opinions/tucker-carlson-putin-russia-obeidallah/index.html
266,https://www.cnn.com/2022/03/15/politics/chemical-weapons-russia-what-matters/index.html
267,https://www.cnn.com/2022/03/15/us/five-things-march-15-trnd/index.html
268,https://www.cnn.com/2022/03/15/business/russia-europe-sanctions-energy/index.html
269,https://www.cnn.com/2022/03/17/politics/ukraine-battle-for-survival-analysis/index.html
270,https://www.cnn.com/2022/03/15/europe/ukraine-russian-prisoners-of-war-intl/index.html
271,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-16-22/h_9d4449ebef4774f0f977cd5aff1174c4
272,https://www.cnn.com/2022/03/16/middleeast/mideast-summary-03-16-2022-intl/index.html
273,https://www.cnn.com/2022/03/16/europe/ukraine-mykolaiv-fighting-russian-intl-cmd/index.html
274,https://www.cnn.com/2022/03/16/opinions/putin-foreign-fighters-syria-africa-ukraine-fink/index.html
275,https://www.cnn.com/2022/03/16/politics/zelensky-ukraine-speech-to-congress/index.html
276,https://www.cnn.com/2022/03/16/china/xi-2022-challenges-covid-ukraine-russia-intl-hnk/index.html
277,https://www.cnn.com/2022/03/16/media/fox-correspondent-benjamin-hall-leaves-ukraine/index.html
278,https://www.cnn.com/2022/03/16/tech/deepfake-zelensky-facebook-meta/index.html
279,https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-17-22/h_fcfec5be6bf27782a3e79c40dd4b261a
280,https://www.cnn.com/2022/03/17/politics/russia-military-ukraine-what-matters/index.html
281,https://www.cnn.com/travel/article/europe-travel-plans-ukraine-russia-invasion/index.html
282,https://www.cnn.com/2022/03/16/politics/biden-calls-putin-a-war-criminal/index.html
283,https://www.cnn.com/2022/03/18/media/ukraine-photographers-reliable-sources/index.html
284,https://www.cnn.com/2022/03/17/politics/us-nato-errant-drones-unintentional-conflict-russia-ukraine/index.html
285,https://www.cnn.com/2022/03/17/media/zelensky-video-call-modern-war/index.html
286,https://www.cnn.com/2022/03/17/world/ukraine-water-filters-refugees-cnnheroes/index.html
287,https://www.cnn.com/2022/03/17/europe/mariupol-photo-diary-intl-cmd/index.html
